"Country","Hostname","IP","SSTP_Hostname","Speed","Ping","Sessions","Uptime"
"JP","public-vpn-100.opengw.net","219.100.37.57","public-vpn-100.opengw.net","300.58 Mbps","16 ms","","72 days"
"JP","public-vpn-186.opengw.net","219.100.37.163","public-vpn-186.opengw.net","718.99 Mbps","8 ms","","72 days"
"JP","public-vpn-161.opengw.net","219.100.37.122","public-vpn-161.opengw.net","363.05 Mbps","15 ms","","72 days"
"JP","public-vpn-72.opengw.net","219.100.37.22","public-vpn-72.opengw.net","621.38 Mbps","15 ms","","72 days"
"JP","public-vpn-246.opengw.net","219.100.37.222","public-vpn-246.opengw.net","449.91 Mbps","19 ms","","72 days"
"JP","public-vpn-57.opengw.net","219.100.37.21","public-vpn-57.opengw.net","381.26 Mbps","22 ms","","72 days"
"JP","public-vpn-247.opengw.net","219.100.37.188","public-vpn-247.opengw.net","367.17 Mbps","11 ms","","72 days"
"JP","public-vpn-78.opengw.net","219.100.37.53","public-vpn-78.opengw.net","633.01 Mbps","22 ms","","72 days"
"JP","public-vpn-195.opengw.net","219.100.37.195","public-vpn-195.opengw.net","815.23 Mbps","16 ms","","72 days"
"JP","public-vpn-192.opengw.net","219.100.37.209","public-vpn-192.opengw.net","490.81 Mbps","15 ms","","72 days"
"JP","public-vpn-55.opengw.net","219.100.37.20","public-vpn-55.opengw.net","001.77 Mbps","11 ms","","72 days"
"JP","public-vpn-213.opengw.net","219.100.37.200","public-vpn-213.opengw.net","310.97 Mbps","19 ms","","72 days"
"JP","public-vpn-184.opengw.net","219.100.37.162","public-vpn-184.opengw.net","368.22 Mbps","19 ms","","72 days"
"JP","vpn424352169.opengw.net","124.211.145.201","vpn424352169.opengw.net:1308","498.44 Mbps","7 ms","","81 days"
"JP","vpn696921539.opengw.net","182.20.250.146","vpn696921539.opengw.net:1608","89.30 Mbps","11 ms","","23 days"
"KR","vpn598906346.opengw.net","14.44.79.78","vpn598906346.opengw.net:1922","155.37 Mbps","27 ms","","8 days"
"KR","vpn842432601.opengw.net","168.126.172.15","vpn842432601.opengw.net:995","74.76 Mbps","29 ms","","27 days"
"JP","vpn104717671.opengw.net","36.13.6.253","vpn104717671.opengw.net:1419","86.56 Mbps","3 ms","","6 days"
"JP","vpn256486297.opengw.net","125.195.151.100","vpn256486297.opengw.net:1966","37.56 Mbps","22 ms","","23 days"
"CA","vpn421416087.opengw.net","70.79.240.77","vpn421416087.opengw.net:995","104.36 Mbps","16 ms","","24 days"
"KR","vpn203402367.opengw.net","183.99.115.65","vpn203402367.opengw.net:1610","26.86 Mbps","30 ms","","89 days"
"JP","vpn558315047.opengw.net","121.109.137.24","vpn558315047.opengw.net:1670","91.42 Mbps","7 ms","","23 days"
"JP","public-vpn-81.opengw.net","219.100.37.28","public-vpn-81.opengw.net","554.81 Mbps","22 ms","","72 days"
"JP","vpn871129648.opengw.net","222.148.207.8","vpn871129648.opengw.net:1713","189.05 Mbps","15 ms","","6 days"
"JP","n26.opengw.net","103.152.178.62","n26.opengw.net:1194","55.03 Mbps","14 ms","","28 days"
"KR","vpn384473998.opengw.net","121.175.189.119","vpn384473998.opengw.net:1220","39.44 Mbps","29 ms","","8 days"
"KR","vpn717429528.opengw.net","14.51.38.194","vpn717429528.opengw.net:1541","17.47 Mbps","28 ms","","8 days"
"JP","vpn572174848.opengw.net","126.207.124.101","vpn572174848.opengw.net:1636","308.77 Mbps","15 ms","","5 days"
"JP","2i6.opengw.net","1.66.34.120","2i6.opengw.net","189.31 Mbps","28 ms","","9 days"
"JP","vpn394007501.opengw.net","106.168.67.207","vpn394007501.opengw.net:1903","52.81 Mbps","4 ms","","5 days"
"JP","public-vpn-163.opengw.net","219.100.37.126","public-vpn-163.opengw.net","317.71 Mbps","12 ms","","72 days"
"JP","vpn130008439.opengw.net","180.57.184.191","vpn130008439.opengw.net:1273","93.48 Mbps","5 ms","","5 days"
"KR","vpn526900542.opengw.net","121.154.65.243","vpn526900542.opengw.net:1453","28.82 Mbps","31 ms","","5 days"
"JP","vpn686659377.opengw.net","218.183.114.77","vpn686659377.opengw.net:1909","89.64 Mbps","5 ms","","5 days"
"JP","vpn794913551.opengw.net","61.89.254.164","vpn794913551.opengw.net:1886","82.66 Mbps","2 ms","","4 days"
"JP","vpn189627904.opengw.net","222.0.137.91","vpn189627904.opengw.net:1362","493.87 Mbps","2 ms","","3 days"
"KR","vpn568844762.opengw.net","203.251.116.10","vpn568844762.opengw.net:995","94.06 Mbps","22 ms","","2 days"
"JP","vpn652870061.opengw.net","126.117.112.226","vpn652870061.opengw.net:1780","492.47 Mbps","4 ms","","1 days"
"JP","vpn689003195.opengw.net","121.3.217.251","vpn689003195.opengw.net:1823","935.52 Mbps","3 ms","","1 days"
"KR","vpn205291567.opengw.net","115.138.88.176","vpn205291567.opengw.net:1626","50.82 Mbps","52 ms","","2 days"
"KR","vpn533310272.opengw.net","211.107.96.233","vpn533310272.opengw.net:995","168.85 Mbps","29 ms","","1 days"
"JP","vpn509420157.opengw.net","143.189.62.108","vpn509420157.opengw.net:1715","576.51 Mbps","7 ms","",""
"JP","vpn590642806.opengw.net","114.190.220.207","vpn590642806.opengw.net:1918","218.85 Mbps","16 ms","",""
"JP","vpn377726682.opengw.net","133.165.232.164","vpn377726682.opengw.net:1442","938.24 Mbps","6 ms","",""
"JP","vpn928401868.opengw.net","111.238.128.11","vpn928401868.opengw.net:1694","967.84 Mbps","3 ms","",""
"MX","vpn824158593.opengw.net","187.250.87.170","vpn824158593.opengw.net:1272","136.10 Mbps","7 ms","",""
"JP","vpn181361369.opengw.net","210.250.96.221","vpn181361369.opengw.net:1366","507.91 Mbps","17 ms","",""
"JP","vpn844709358.opengw.net","220.220.107.6","vpn844709358.opengw.net:1318","436.27 Mbps","7 ms","",""
"KR","vpn379300429.opengw.net","119.200.188.187","vpn379300429.opengw.net:1772","75.96 Mbps","26 ms","",""
"VN","vpn232176021.opengw.net","1.54.163.113","vpn232176021.opengw.net:1481","277.30 Mbps","29 ms","",""
"JP","vpn767002276.opengw.net","210.194.10.105","vpn767002276.opengw.net:1834","238.48 Mbps","18 ms","",""
"KR","vpn105608666.opengw.net","61.82.85.230","vpn105608666.opengw.net:995","194.69 Mbps","28 ms","",""
"KR","vpn955264608.opengw.net","218.150.111.97","vpn955264608.opengw.net:995","360.39 Mbps","25 ms","",""
"JP","vpn454127516.opengw.net","125.52.63.205","vpn454127516.opengw.net:1845","808.67 Mbps","12 ms","",""
"KR","vpn584509950.opengw.net","211.107.25.179","vpn584509950.opengw.net:1400","240.34 Mbps","27 ms","",""
"KR","vpn359760251.opengw.net","220.71.150.248","vpn359760251.opengw.net:995","92.60 Mbps","27 ms","",""
"KR","vpn618326289.opengw.net","14.37.121.246","vpn618326289.opengw.net:1618","66.62 Mbps","33 ms","",""
"KR","vpn584376168.opengw.net","121.187.24.218","vpn584376168.opengw.net:995","60.73 Mbps","31 ms","",""
"VN","vpn482936540.opengw.net","42.114.80.230","vpn482936540.opengw.net:1909","109.56 Mbps","32 ms","",""
"KR","vpn375744795.opengw.net","1.229.118.162","vpn375744795.opengw.net:1602","484.34 Mbps","28 ms","",""
"KR","vpn398277332.opengw.net","121.152.58.166","vpn398277332.opengw.net:1609","30.50 Mbps","31 ms","",""
"US","vpn886103359.opengw.net","155.94.163.37","vpn886103359.opengw.net","367.84 Mbps","13 ms","",""
"RU","vpn514684426.opengw.net","37.22.166.131","vpn514684426.opengw.net:1770","35.91 Mbps","61 ms","",""
"AU","vpn923258423.opengw.net","89.147.101.55","vpn923258423.opengw.net:1569","205.67 Mbps","37 ms","",""
"RU","vpn219627693.opengw.net","86.102.14.83","vpn219627693.opengw.net:1394","93.63 Mbps","121 ms","",""
"KR","vpn869555691.opengw.net","218.235.216.25","vpn869555691.opengw.net:995","47.45 Mbps","39 ms","",""
"JP","vpn541516872.opengw.net","125.204.117.6","vpn541516872.opengw.net:1575","715.03 Mbps","65 ms","",""
"RU","vpn907670030.opengw.net","77.82.249.87","vpn907670030.opengw.net:1254","91.56 Mbps","144 ms","",""
"US","vpn930311196.opengw.net","72.219.165.127","vpn930311196.opengw.net:1632","235.09 Mbps","12 ms","",""
"RU","vpn398540424.opengw.net","31.181.180.254","vpn398540424.opengw.net:1939","25.70 Mbps","43 ms","",""
"KR","vpn207864158.opengw.net","123.100.191.164","vpn207864158.opengw.net:1642","77.04 Mbps","-","",""
"JP","aura143.opengw.net","164.70.84.149","aura143.opengw.net","99.75 Mbps","1 ms","","14 days"
"JP","vpn504375492.opengw.net","153.210.240.232","vpn504375492.opengw.net:1543","96.30 Mbps","11 ms","","23 days"
"JP","vpn759993604.opengw.net","121.115.6.141","vpn759993604.opengw.net:1885","294.17 Mbps","18 ms","","7 days"
"JP","vpn751168941.opengw.net","221.187.127.65","vpn751168941.opengw.net:1279","89.21 Mbps","18 ms","","8 days"
"JP","vpn482319525.opengw.net","60.96.54.34","vpn482319525.opengw.net:1676","133.50 Mbps","6 ms","","10 days"
"KR","vpn563710532.opengw.net","1.230.235.51","vpn563710532.opengw.net:1961","88.97 Mbps","36 ms","","89 days"
